Company,Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium  (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g)
McDonald’s,Hamburger,250.0,9,3.5,0.5,25,520,31,2,6.0,12
McDonald’s,Cheeseburger,300.0,12,6,0.5,40,750,33,2,6.0,15
McDonald’s,Double Cheeseburger,440.0,23,11,1.5,80,1150,34,2,7.0,25
McDonald’s,McDouble,390.0,19,8,1,65,920,33,2,7.0,22
McDonald’s, Quarter Pounder® with Cheese,510.0,26,12,1.5,90,1190,40,3,9.0,29
McDonald’s,Double Quarter Pounder® with Cheese,740.0,42,19,2.5,155,1380,40,3,9.0,48
McDonald’s,Big Mac®,540.0,29,10,1.5,75,1040,45,3,9.0,25
McDonald’s,Big N’ Tasty®,460.0,24,8,1.5,70,720,37,3,8.0,24
McDonald’s,Big N’ Tasty® with Cheese,510.0,28,11,1.5,85,960,38,3,8.0,27
McDonald’s,Angus Bacon & Cheese,790.0,39,17,2,145,2070,63,4,13.0,45
McDonald’s,Angus Deluxe,750.0,39,16,2,135,1700,61,4,10.0,40
McDonald’s,Angus Mushroom & Swiss,770.0,40,17,2,135,1170,59,4,8.0,44
McDonald’s,Filet-O-Fish®,380.0,18,3.5,0,40,640,38,2,5.0,15
McDonald’s,McChicken ®,360.0,16,3,0,35,830,40,2,5.0,14
McDonald’s,McRib ®,500.0,26,10,0,70,980,44,3,11.0,22
McDonald’s,Premium Grilled Chicken Classic Sandwich,360.0,9,2,0,65,820,41,4,8.0,27
McDonald’s,Premium Crispy Chicken Classic Sandwich,510.0,22,3.5,0,45,990,56,3,10.0,24
McDonald’s,Premium Grilled Chicken Club Sandwich,460.0,17,6,0,90,1040,43,4,9.0,35
McDonald’s,Premium Crispy Chicken Club Sandwich,620.0,29,7,0,70,1200,57,3,11.0,31
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380.0,10,3,0,75,1000,41,4,9.0,31
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540.0,23,4.5,0,55,1160,56,3,11.0,27
McDonald’s,Southern Style Crispy Chicken Sandwich,400.0,17,3,0,45,1030,39,1,6.0,24
McDonald’s,Ranch Snack Wrap® (Crispy),340.0,17,4.5,0,30,810,33,1,2.0,14
McDonald’s,Ranch Snack Wrap® (Grilled),270.0,10,4,0,45,830,26,1,2.0,18
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330.0,16,4.5,0,30,780,34,1,4.0,14
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260.0,9,3.5,0,45,800,27,1,4.0,18
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330.0,15,4.5,0,30,810,35,1,4.0,14
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260.0,9,3.5,0,45,830,28,1,5.0,18
McDonald’s,Angus Bacon & Cheese Snack Wrap,390.0,21,9,1,75,1080,28,1,4.0,21
McDonald’s,Angus Chipotle BBQ Bacon,800.0,39,18,2,145,2020,66,4,16.0,45
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400.0,22,10,1,75,1060,30,1,6.0,21
McDonald’s,Angus Deluxe Snack Wrap,410.0,25,10,1.5,75,990,27,2,3.0,20
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430.0,26,10,1.5,75,730,27,2,2.0,22
McDonald’s,Mac Snack Wrap,330.0,19,7,1,45,690,26,1,3.0,15
McDonald’s,Small French Fries,230.0,11,1.5,0,0,160,29,3,0.0,3
McDonald’s,Medium French Fries,380.0,19,2.5,0,0,270,48,5,0.0,4
McDonald’s,Large French Fries,500.0,25,3.5,0,0,350,63,6,0.0,6
McDonald’s,Ketchup Packet,15.0,0,0,0,0,110,3,0,2.0,0
McDonald’s,Salt Packet,0.0,0,0,0,0,270,0,0,0.0,0
McDonald’s,Chicken McNuggets® (4 piece),190.0,12,2,0,25,360,12,1,0.0,9
McDonald’s,Chicken McNuggets® (6 piece),280.0,18,3,0,40,540,18,1,0.0,13
McDonald’s,Chicken McNuggets® (10 piece),470.0,30,5,0,65,900,30,2,0.0,22
McDonald’s,Barbeque Sauce,50.0,0,0,0,0,260,12,0,10.0,0
McDonald’s,Honey,50.0,0,0,0,0,0,12,0,11.0,0
McDonald’s,Hot Mustard Sauce,60.0,2.5,0,0,5,250,9,2,6.0,1
McDonald’s,Sweet ‘N Sour Sauce,50.0,0,0,0,0,150,12,0,10.0,0
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),400.0,24,3.5,0,50,1010,23,0,0.0,23
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),660.0,40,6,0,85,1680,39,0,0.0,38
McDonald’s,Spicy Buffalo Sauce,60.0,6,1,0,0,800,1,1,0.0,0
McDonald’s,Creamy Ranch Sauce,170.0,18,3,0,10,270,2,0,1.0,0
McDonald’s,Tangy Honey Mustard Sauce,60.0,2,0,0,5,140,10,0,8.0,0
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.0,0,0,0,0,210,15,1,11.0,0
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.0,9,3,0,70,960,30,6,11.0,30
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.0,20,4,0,55,920,38,6,12.0,26
McDonald’s,Premium Southwest Salad (without chicken),140.0,4.5,2,0,10,150,20,6,6.0,6
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.0,9,4,0,90,1010,12,3,5.0,33
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.0,20,6,0,75,970,20,3,6.0,29
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.0,7,3.5,0,25,300,10,3,4.0,9
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.0,6,3,0,75,890,12,3,5.0,30
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.0,17,4.5,0,60,840,20,3,6.0,26
McDonald’s,Premium Caesar Salad (without chicken),90.0,4,2.5,0,10,180,9,3,4.0,7
McDonald’s,Side Salad,20.0,0,0,0,0,10,4,1,2.0,1
McDonald’s,Butter Garlic Croutons,60.0,1.5,0,0,0,140,10,1,0.0,2
McDonald’s,Snack Size Fruit & Walnut Salad,210.0,8,1.5,0,5,60,31,2,25.0,4
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.0,6,1,0,20,340,11,0,3.0,1
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.0,18,3.5,0,20,500,4,0,2.0,2
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,3,0,0,0,730,4,0,3.0,0
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,2.5,0,0,0,730,8,0,1.0,1
McDonald’s,Newman’s Own® Ranch Dressing,170.0,15,2.5,0,20,530,9,0,4.0,1
McDonald’s,Egg McMuffin®,300.0,12,5,0,260,820,30,2,3.0,18
McDonald’s,Sausage McMuffin®,370.0,22,8,0,45,850,29,2,2.0,14
McDonald’s,Sausage McMuffin® with Egg,450.0,27,10,0,285,920,30,2,2.0,21
McDonald’s,English Muffin,160.0,3,0.5,0,0,280,27,2,2.0,5
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,23,12,0,235,1160,37,2,3.0,15
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,27,12,0,235,1270,43,3,4.0,15
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,33,14,0,250,1170,36,2,2.0,18
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.0,37,15,0,250,1280,42,3,3.0,18
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.0,27,12,0,30,1080,34,2,2.0,11
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.0,31,13,0,30,1190,39,3,3.0,11
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,20,8,0,30,1180,41,2,3.0,17
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,24,9,0,30,1290,46,3,4.0,17
McDonald’s,"Steak, Egg & Cheese Bagel",660.0,33,12,1,300,1580,56,3,7.0,33
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.0,18,8,0,240,1110,48,2,15.0,15
